NewPipe Ⓝ,0.19.5,2020-06-04,https://github.com/TeamNewPipe/NewPipe,9101
Simple Notes Pro,6.5.3,2020-06-04,https://github.com/SimpleMobileTools/Simple-Notes,306
KeePassDroid,2.5.12,2020-06-02,https://github.com/bpellin/keepassdroid,1230
Riot.im Ⓝ,0.9.12,2020-06-02,https://github.com/vector-im/riot-android,1452
Commons,2.13,2020-05-23,https://github.com/commons-app/apps-android-commons,595
Persian Calendar,6.2.3,2020-05-23,https://github.com/persian-calendar/DroidPersianCalendar,405
Voice,5.0.2,2020-05-23,https://github.com/PaulWoitaschek/Voice,1337
Camera,5.2.1,2020-05-20,https://github.com/SimpleMobileTools/Simple-Camera,438
Delta Chat,1.8.1,2020-05-15,https://github.com/deltachat/deltachat-android,549
KISS launcher,3.14.0,2020-05-15,https://github.com/Neamar/KISS,1540
UserLAnd,2.7.2,2020-05-15,https://github.com/CypherpunkArmory/UserLAnd,1616
Tutanota Ⓝ,3.73.1,2020-05-13,https://github.com/tutao/tutanota,3382
NeuroLab,1.0.0,2020-05-11,https://github.com/fossasia/neurolab-android,1290
AdAway,4.3.4,2020-05-09,https://github.com/AdAway/AdAway,2296
ScreenStream,3.4.9,2020-05-09,https://github.com/dkrivoruchko/ScreenStream,511
Jitsi Meet,20.2.3,2020-05-06,https://github.com/jitsi/jitsi-meet,13010
Markor,2.2.10,2020-05-06,https://github.com/gsantner/markor,1002
Termux:API,0.43,2020-05-06,https://github.com/termux/termux-api,411
Kiwix,3.2.1,2020-04-30,https://github.com/kiwix/kiwix-android,318
OpenLauncher,0.7.3,2020-04-30,https://github.com/OpenLauncherTeam/openlauncher,828
Orgzly,1.8.3,2020-04-30,https://github.com/orgzly/orgzly-android,1590
SkyTube Ⓝ,2.972,2020-04-30,https://github.com/ram-on/SkyTube,770
Music Player GO,4.2.7,2020-04-21,https://github.com/enricocid/Music-Player-GO,407
Muzei Ⓤ,3.2.0,2020-04-21,https://github.com/romannurik/muzei,4064
NewsBlur,9.0.1,2020-04-21,https://github.com/samuelclay/NewsBlur,5536
Survival Manual,4.2.5,2020-04-19,https://github.com/ligi/SurvivalManual,489
Simpletask,10.5.4,2020-04-15,https://github.com/mpcjanssen/simpletask-android,380
Vanilla Music,1.0.85,2020-04-13,https://github.com/vanilla-music/vanilla,727
WiFiAnalyzer,2.1.2,2020-04-13,https://github.com/VREMSoftwareDevelopment/WifiAnalyzer,1089
xBrowserSync,1.5.2,2020-04-13,https://github.com/xbrowsersync/app,367
Network Tools Library,0.4.5.2,2020-04-01,https://github.com/stealthcopter/AndroidNetworkTools,888
DNS66,0.6.5,2020-03-30,https://github.com/julian-klode/dns66,1482
WeeChat Android,0.14.1,2020-03-30,https://github.com/ubergeek42/weechat-android,406
MGit Ⓣ,1.5.9,2020-03-23,https://github.com/maks/MGit,386
OpenVPN for Android,0.7.15,2020-03-23,https://github.com/schwabe/ics-openvpn,1971
VirtualXposed Ⓐ,0.18.2,2020-03-19,https://github.com/android-hacker/VirtualXposed,10111
Open Pet Food Facts,3.2.8,2020-03-14,https://github.com/openfoodfacts/openfoodfacts-androidapp,482
BusyBox,1.31.1,2020-03-12,https://github.com/meefik/busybox,617
OpenBeautyFacts,3.2.8,2020-03-12,https://github.com/openfoodfacts/openfoodfacts-androidapp,482
OpenFoodFacts,3.2.8,2020-03-12,https://github.com/openfoodfacts/openfoodfacts-androidapp,482
Red Moon,3.5.0,2020-03-12,https://github.com/LibreShift/red-moon,437
Smart Card Emulator,3.3,2020-03-12,https://github.com/frankmorgner/vsmartcard,360
Tachiyomi,0.8.5,2020-03-11,https://github.com/inorichi/tachiyomi,7803
Change Detection,2.2,2020-03-08,https://github.com/bernaferrari/ChangeDetection,466
OgreSampleBrowser,1.12.5,2020-03-08,https://github.com/OGRECave/ogre,1796
Shader Editor,2.19.0,2020-03-05,https://github.com/markusfisch/ShaderEditor,464
SuperTuxKart,1.1,2020-03-03,https://github.com/supertuxkart/stk-code,2959
AndrOBD,V2.1.3,2020-02-29,https://github.com/fr3ts0n/AndrOBD,456
Badge Magic,1.7.0,2020-02-29,https://github.com/fossasia/badge-magic-android,1295
News,0.9.9.36,2020-02-26,https://github.com/nextcloud/news-android,457
WallETH,0.48.2,2020-02-26,https://github.com/walleth/walleth,400
AntennaPod,1.8.1,2020-02-22,https://github.com/AntennaPod/AntennaPod,2916
Mindustry,5-fdroid-104,2020-02-22,https://github.com/Anuken/Mindustry,4784
AFWall+ Ⓐ,3.4.0,2020-02-12,https://github.com/ukanth/afwall,1678
AnySoftKeyboard,1.10.1109,2020-02-12,https://github.com/AnySoftKeyboard/AnySoftKeyboard,1395
